ComplaintID,Predictions
557120,N
628095,N
616592,N
782013,N
810845,N
928538,N
957585,N
943872,N
998980,N
986072,N
1015757,N
1024420,N
1036025,N
1067767,N
1038102,N
1085250,N
1120860,N
1098459,N
1136723,N
1155201,N
1270478,N
1374569,N
1449679,N
1554364,N
1605052,N
1606515,N
1593312,N
1602337,N
1632816,N
1653743,N
1753698,N
1770220,N
1762726,N
1793885,N
1861893,N
1896576,N
32362,N
101767,N
186134,N
145561,N
486327,N
634653,N
726612,N
749559,N
786252,N
780579,N
821877,N
839910,N
833693,N
959327,N
969131,N
992583,N
1069653,N
1105886,N
1142103,N
1177326,N
1150195,N
1183235,N
1306730,N
1303486,N
1318960,N
1325681,N
1326813,N
1344915,N
1346824,N
1384889,N
1390544,N
1640934,N
1612163,N
1627576,N
1651238,N
1673264,N
1653424,N
1699040,N
1692735,N
1735303,N
1749455,N
1759359,N
1765962,N
1776439,N
1762849,N
1833493,N
1866602,N
1888761,N
80404,N
29578,N
38077,N
60629,N
173266,N
104175,N
231358,N
489578,N
575712,N
631968,N
662182,N
685997,N
732260,N
787038,N
756453,N
800409,N
837026,N
906082,N
914598,N
959990,N
1055651,N
1089864,N
1082164,N
1120937,N
1136079,N
1183810,N
1251175,N
1268037,N
1289488,N
1275081,N
1337405,N
1379782,N
1414356,N
1478447,N
1533153,N
1518743,N
1652380,N
1646661,N
1716772,N
1765334,N
1761331,N
1768753,N
1797860,N
1797514,N
1763603,N
1770887,N
1809595,N
1971766,N
54422,N
75035,N
42330,N
43184,N
68829,N
102637,N
102652,N
131543,N
178550,N
214436,N
641339,N
625870,N
672873,N
755934,N
779889,N
806440,N
871244,N
891319,N
907689,N
1011045,N
1003792,N
1053316,N
1074147,N
1225400,N
1272900,N
1320975,N
1370706,N
1389566,N
1399269,N
1414357,N
1440194,N
1476836,N
1487513,N
1541505,N
1561613,N
1620831,N
1816076,N
1811201,N
1884052,N
1888233,N
39993,N
71057,N
124079,N
215712,N
364979,N
1477510,N
1963493,N
1493355,N
1125231,N
1407851,N
1562354,N
1916777,N
1925521,N
1978116,N
2040331,N
1979126,N
2062368,Y
1978194,N
2074179,Y
2046184,N
2059595,Y
2055581,Y
1980865,N
2052071,Y
1976044,N
2013869,N
2062014,Y
1988152,N
1941028,N
2052764,Y
1935893,N
2064725,Y
2069041,Y
2078391,Y
1980960,N
2090645,Y
2011782,N
1946032,N
1979066,N
2087582,Y
2046210,Y
1975533,N
2072718,Y
2056995,Y
1951892,N
2048423,Y
1964632,N
1980653,N
2066928,Y
2044746,N
2067490,Y
2073041,Y
1954525,N
2046278,Y
2053741,Y
2044043,N
1976353,N
1977103,N
2036890,N
2053775,Y
2026642,N
1973794,N
1994059,N
2071942,Y
2035567,N
2046387,Y
2045502,N
2030030,N
2061512,Y
2062790,Y
2042565,N
2041243,N
2058852,Y
2018622,N
2028759,N
2057984,Y
1978192,N
2039531,N
2040942,N
2040741,N
1973271,N
2014792,N
1987987,N
1972015,N
2020873,N
2036299,N
2032072,N
2053225,Y
2040201,N
1971621,N
531318,N
2025376,N
2035400,N
2017032,N
2027573,N
